Pergunta;Resposta
O que é a dengue?;A dengue é uma doença infecciosa viral que faz parte de um grupo de doenças denominadas arboviroses. Ela representa um grande problema de saúde pública não apenas no Brasil, mas também em vários países da América Latina. É transmitida pela?picada da fêmea
Existem tipos diferentes de dengue? ;Sim. O vírus da dengue possui quatro sorotipos: DENV-1, DENV-2, DENV-3 e DENV-4 e não apresentam diferenças clínicas. Nem todos os subtipos circulam ao mesmo tempo. Nos últimos anos, os sorotipos 1 e 2 foram os mais prevalentes. Em alguns estados, há a ci
Qual a principal diferença entre o pernilongo comum e o mosquito da dengue?;Duas das principais diferenças envolvendo os dois mosquitos são a coloração e o tamanho: enquanto o pernilongo comum (Culex) é marrom e mede entre 3 e 4 mm, o mosquito da dengue (Aedes aegypti) é preto com listras brancas e é maior, medindo entre 5 e 7 mm
É verdade que o vírus é transmitido apenas pela picada da fêmea?;Sim. O vírus da dengue é transmitido somente pela?picada da fêmea do mosquito Aedes aegypti. “A fêmea suga o sangue com o objetivo de amadurecimento dos ovos”, explicou Gouveia. 
Como ocorre a transmissão da doença?;O mosquito se adaptou ao ambiente urbano e se reproduz principalmente em depósitos de água limpa e parada. Apesar disso, o mosquito evoluiu e adquiriu capacidade de proliferação em água com matéria orgânica. Seus ovos são depositados nas paredes de recipi
Toda picada de fêmea do Aedes transmite a doença?;Não necessariamente. A fêmea do mosquito Aedes aegypti tem que estar contaminada pela dengue para transmitir a doença. Isso pode acontecer após ela picar um humano contaminado e, se ela já estiver infectada quando puser seus ovos, há a possibilidade de as
Quando surgem os sintomas? ;Nem sempre a pessoa contaminada com dengue desenvolverá sintomas – ela pode ser totalmente assintomática ou apresentar um quadro leve, que passa praticamente sem perceber. Mas, em geral, após a picada do mosquito infectado, o indivíduo poderá desenvolver 
Em que momento uma pessoa com sintomas sugestivos de dengue deve procurar um serviço de saúde para diagnóstico? ;"De acordo com a infectologista do Einstein, todo indivíduo que apresente os sinais e sintomas sugestivos da doença deve procurar atendimento médico para avaliação de risco. Os principais sinais e sintomas são: 

Se a pessoa apresentar febre alta repentina"
Como é feito o tratamento da dengue?;"Não existe um medicamento específico para o vírus da dengue – o tratamento é baseado principalmente na reposição de líquidos e no controle de sintomas. Em geral, como a maioria dos casos é leve, a recuperação completa acontece em torno de dez dias.  

A r"
Quais medicamentos eu não posso tomar? ;“Anti-inflamatórios não hormonais, como diclofenaco e ibuprofeno, não são indicados, além do ácido acetilsalicílico, pois eles podem favorecer os sangramentos”, explica a médica. Caso já utilize esses medicamentos, consulte seu médico. 
A doença acontece o ano inteiro? ;A dengue é uma doença sazonal – costuma acontecer nos períodos mais quentes e chuvosos (especialmente entre os meses de outubro e maio). No entanto, aspectos como a urbanização, o crescimento desordenado da população, o saneamento básico deficitário e os 
O que explica o aumento significativo no número de casos?;Ainda não é possível saber o que tem motivado o aumento de casos de dengue. De acordo com Gouveia, uma série de fatores contribuem e, entre eles, as alterações climáticas, com o regime de chuvas intensas e temperaturas secundárias ao aquecimento global, a
Posso ter dengue várias vezes? ;Sim. Como existem quatro sorotipos da doença, uma pessoa pode se contaminar até quatro vezes ao longo da vida – cada vez por um dos sorotipos. A recuperação da infecção por um sorotipo proporciona a imunidade vitalícia apenas contra ele.
É verdade que uma segunda contaminação aumenta o risco de dengue grave?;"Sim. A pessoa só garante a imunidade permanente contra o sorotipo pelo qual foi contaminada. Ao ser picada e contaminada novamente por qualquer um dos outros sorotipos da dengue, aumenta-se o risco de desenvolver a forma mais grave da dengue. 

“Os quatro"
Quais as formas de prevenção? ;Uma das principais formas de prevenir a transmissão da dengue é o controle do mosquito vetor da doença – evite deixar água parada em recipientes, pneus, vasos, calhas. Estima-se que 80% dos criadouros do mosquito estão dentro das casas. O controle do mosq
E a vacina contra a dengue?;"A vacinação é mais uma importante ferramenta na busca pelo controle da doença, que continua causando a epidemia no Brasil. Ela ainda não está amplamente disponível para todas as pessoas.  

No início de 2023, a Agência Nacional de Vigilância Sanitária (An"
O uso de repelentes protege contra a picada do mosquito?;Existem dois tipos deprodutos usados para repelir o mosquito?da dengue: os repelentes para aplicação na pele e aqueles para uso no ambiente. Não existem repelentes de uso oral, como comprimidos e vitaminas, com uma indicação aprovada para repelir o mosqui
Repelentes “naturais”, como citronela, funcionam?;De acordo com a Anvisa, os inseticidas chamados “naturais”, à base de citronela, andiroba e óleo de cravo, entre outros, não possuem comprovação de eficácia. Ou seja, as velas, os odorizantes de ambientes e os incensos que indicam propriedades repelentes 
Moro em apartamento. Devo me preocupar?;Sim. Embora o mosquito normalmente voe a uma altura de até cerca de 1,50 m, ele pode subir pelos elevadores e se estabelecer na casa das pessoas que vivem em apartamentos, caso ele encontre algum local com água parada. 
Existem outras medidas caseiras que podem ajudar a prevenir o mosquito?;As medidas caseiras recomendadas de prevenção são: manter ralos desobstruídos e limpos e, caso apresentem água parada, eles devem ser tampados (as caixas-d’água também devem ter tampadas). Não deixar qualquer tipo de recipiente com água acumulada, como va
